69,atre CARD
1530,京王パスポートカード
12901,VIEW
12969,GRANDUO ポイントカード
14001,石丸i^2(アイアイ)カード
100100,ソニーファイナンスインターナショナル Edy
100190,AMC 宮交バスカ Edy
100196,ANA MILEAGE CLUB Edy
100500,三井住友カード Edy
120611,楽天銀行 スーパーローンカード
127698,三井住友カード
200000,イズミヤカード（プロパー）
200100,マックチップ(三井住友銀行) Edy
210191,D-ONEカード(第一専門店会)
300100,GAITAME.com(ビットワレット) Edy
300101,Rakuten Point Club Edy
300140,おサイフケータイ(F) Edy
300140,おサイフケータイ(SH) Edy
300150,おサイフケータイ(SO) Edy
300300,BIG ECHO MEMBERS CARD Edy
307000,OMC(HOUSE)
310000,JCB昭和シェルビジネスカード
334021,ペルソナハウス
352824,SAISON 郵貯 JCB
352830,SAISON Loft JCBA
352855,SAISON JCB
352859,出光クレジット まいどカード JCB
352865,SAISON JAF JCB
352865,SAISON MUJI JCB
352867,SAISON Mei JCB
352868,SAISON PEC JCB
354002,さくらカード JCB 一般
354006,JCB　福岡カード
354008,JCB
354009,UFJ JCB SNOOPY-L
354012,UFJ JCB
354014,JCB北海道・JCBカード
354016,セーブオン JCB
354017,りそなJCB
354019,UFJ JCB
354019,さくらカードJCB
354020,JAF JCB
354020,JCB NET PLUS
354020,PIA JCB
354021,スルガ銀行JCB
354022,トライカードJCB
354023,ANA-SFC-JCB
354023,JCB-LINDA
354023,JCBコーポレート一般
354023,JR JCB ビジネスプラスカード
354023,フィナンシャルワンメンバーズUFJ-JCB(グランデ、一般)
354023,早稲田カードJCB
354024,ANA-JCB(WIDE、一般)
354024,FinancialOne-JCB
354024,JCB
354024,JAF-JCB
354024,慶應JCB
354025,ANA JCB一般
354025,JCB マクドナルド
354025,JCB-Arubara
354025,U-29/JCBカード
354025,さくらグランデ
354026,ANA-JCB 一般
354026,JCB(グランデ、コーポレート一般)
354026,MJC-JCB
354026,ORIX Rent-A-Car Card JCB
354026,U-29カード/JCB
354026,UFJ-JCB
354027,JCB E.GO
354027,ANA-JCB(WIDE、一般)
354027,JCB Arubara
354027,JCB LivingPlus
354027,JCB U-29
354027,JCB-NetMile-Arubara
354027,フィナンシャルワンメンバーズUFJ-JCB 一般
354027,早稲田カード
354027,明治大学学生カード JCB
354028,さくらJCB-Arubara
354028,さくらカード一般
354028,フィナンシャルワンメンバーズUFJ-JCB グランデ
354028,株式会社JCB-UnitedAirline
354031,さくらグランデ
354033,さくらTYPE SELECT
354034,JCB EITT
354035,さくらTYPE SELECT
354036,ANA JCB 一般
35403x,リクルートカード JCB
354060,大学生協-JCB
354062,JCB-ANA St
354068,JCB
354068,Microsoft Plus三和JCB
354069,JAL Card JCB (一般 CLUB-A JGC)
354070,JCBぴあカード
354070,JCBセリーグ阪神タイガースカード
354072,JCB DRIVER'S PLUS/ETC
354074,新銀行東京カード JCB
354074,福岡銀行arecore-JCB
354077,JCBネクサス
354077,フィナンシャルワンメンバーズUFJ-JCB ネクサス
354080,JCBシナジー
354082,JCB北海道・グランデ
354087,DoCoMo UFJ-JCB
354088,Persona JCB
354090,アイワイカード JCB
354093,アイワイカード JCB
354100,西銀JCB-G
354101,ANA JCB GOLD (一般 Wide SuperFlyers)
354101,JCB
354101,JCB GOLD プロパー
354101,JCB GOLD UNITED マイレージプラス
354101,慶應JCB-Gold
354101,早稲田GOLDカード
354102,JCB
354102,JCBゴールド
354102,ANA JCB ワイドゴールド
354102,ANA JCB Platinum
354102,フィナンシャルワンメンバーズUFJ-JCB ゴールド
354169,JAL Card CLUB-A JCB-G
354180,JCB THE CLASS
354181,JCB BUSINESS
354181,KKR(国家公務員共済組合連合会) JCB BUSINESS
354181,JR-JCB-BUSINESS-Gold
354258,JAL JCB
354259,YAHOO!JAPAN JCBカード
354277,Ario JCBカード
354287,HANA PLUS JCBカード
354290,小田急ポイントクレジットカード
355100,JCB法人ゴールド
358010,日立カード 一般
358014,NOVA CARD JCB (日立カードサービス)
358180,JR東海エクスプレス・カード（JCB）
358201,日専連おびひろJCB
358204,日専連JCB
358273,dsp JCB
358277,APLUS JCB (TSUTAYA なんばCITY含)
358290,GE-JCB
358298,GE CARD JCB
358299,GE CARD JCB GOLD
358305,@nifty Orico-JCB
358305,ミニミニ Orico-JCB
358305,モンテローザOrico-JCB
358403,楽天カード JCB
358403,KC JCB
358410,AEON JCB
358411,AEON JCB
358413,AEON JCB
358419,AEON JCB (ETC スポーツオーソリティー含)
358481,Panasonic-JCB
358488,Panasonic-JCB
358490,高島屋JCB
358622,YJCard Yahoo! JAPANカード
358631,MUFG-JCB
358701,ゲゲゲの鬼太郎カード
358701,SC・JCBカード
358702,北専JCB
358703,札信販JCB
358708,GEコンシューマー・ファイナンス
358711,JACCS-JCB ピーシーデポカード
358711,鰤JACCS-JCB
358711,JACCS-横浜インビテーションカード-JCB
358711,JACCS-はこだてカード-JCB
358711,JACCS-とあるカードの加点収集
358711,Ponta Premium Card
358711,JACCS 漢方スタイルクラブカード JCB
358741,JUPI Card
358742,UCS JCB (一般 GOLD)
358743,全日信販JCB
358744,ゆめJCB
358746,OSAKA PiTaPa-トヨタTS3-JCB
358746,JKJK
358747,トヨタTS3カード JCB-G
358750,OMC JCB
358751,OMC JCB
358759,OMC JCB ゴールド
358761,JCB
358761,ポケットカード Tカード プラス
358781,CF JCB
358781,セディナ JCB JR東海エクスプレス
358787,JALカードSuica JCB
358787,View-Suica-JCB
358787,ビックカメラSuicaカードJCB
358787,ルミネカード-JCB
358787,大人の休日倶楽部ミドルカード-JCB
358787,大人の休日倶楽部ジパングカード-JCB
358787,エスパルビュー・スイカカード-JCB
358787,TYOビュー・スイカカード-JCB
358787,ジェクサービュー・スイカカード-JCB
358793,イズミヤカード-JCB
358796,ポケットカード P-one Wiz
358821,荘内銀行バンクカード-JCB
358874,bc
364888,平茄子 (タイ)
369115,Diners-Black
369115,WASEDA Diners
369116,Diners 一般
369116,Diners 提携
369116,Diners 提携JC
369116,Diners プレミアム
369117,Diners citigold
369117,ANA Diners Super Flyers Card Premium
369118,ANA Diners Super Flyers Card
369150,DINERS NewOtaniClub
369161,JAL Diners
369163,JAL Global Club Diners
369541,Diners 一般
369554,Diners 一般
369563,Diners コーポレート
369570,Diners 一般
369571,Diners 一般
369572,Diners 一般
369574,Diners 一般
369591,Diners 一般
376101,AMEX GOLD
376103,AMEX GOLD
376104,AMEX
376107,AMEX GOLD
376108,AMEX GOLD
376109,AMEX
376112,AMEX
376118,AMEX
376121,AMEX
376122,オークラクラブ AMEX
376124,AMEX
376126,AMEX
376127,AMEX
376128,新生 AMEX
376132,AMEX
376132,DELTA SKYMILES AMEX GOLD
376135,ANA AMEX
376135,AMEX Platinum
376153,AMEX Corp.
376168,AMEX Corp.
376169,AMEX Business staff (GOLD)
376170,AMEX Business owner (PLAT)
376171,AMEX GOLD Corp.
376174,AMEX GOLD Corp.
376176,AMEX GOLD Corp.
376177,AMEX Centurion Card
376177,AMEX Platinum
376178,AMEX Centurion
376179,AMEX Platinum
376310,AMEX GOLD (タイ)
376511,AMEX コンパニオン
376512,AMEX コンパニオン (色がグレー)
377781,SAISON AMEX
377781,SAISON PLATINUM AMEX
377781,SAISON JAF AMEX
377781,SAISON PARCO AMEX
377781,SAISON 鶴見はなぽーとブロッサム AMEX
377782,SAISON DoCoMo AMEX
377858,MUFGカード ゴールド AMEX
379029,AMEX GIFT CARD (アメックス・プリペイドカード(有))
402855,CITIBANK Dollar VISA
406042,BANK ONE - THE ONE Card (VISA check card)
415314,日興プラチナデビットカード (VISAデビット)
420510,AEON
420511,AEON
420511,AEON-GOLD-VISA
420512,AEON-GOLD-VISA
420519,AEON
420520,AEON-VISA
420521,AEON-VISA
420522,AEON-VISA
420523,AEON-VISA
420529,AEON-VISA
420529,AEON JMB VISA
420529,AEON-Suica-VISA
420529,AEON COSMO THE CARD Opus
420530,AEON
422000,Life-ライフカード　ゴールド VISA
422002,Life-ライフカード VISA
450590,AEON-VISA
421614,スルガVISAデビットカード (VISAデビット)
421615,スルガVISAデビットカード (VISAデビット)
425955,Banco BANTEC
428485,Vプリカ （バーチャルVISAプリペイド）
428487,NEO MONEY(セゾンVISAプリペイド)
428490,ココカラクラブカード(VISAプリペイド)
429769,楽天カード VISA
429770,楽天プレミアム VISA
431126,三井住友インターナショナルキャッシュカード
432371,Wells Fargo Bank
433287,YJCard ソフトバンクカード
434005,YJCard Yahoo! JAPANカード
436304,SBIカードPlus Visa
436304,ゲオPonta Visa
438400,Banco BANTEC
439102,東京三菱キャッシュカード<インターナショナル>
447057,CALIFORNIA BANK & TRUST VISA
452581,JACCS-VISA 一般
452582,JACCS
452584,JACCS VISA (TSUTAYA提携から切り替え)
452584,JACCS REX CARD Lite
452585,JACCS-横浜インビテーションカード-VISA
452590,AEON-VISA
453138,横浜銀行バンクカード(BC)-VISA
453177,福岡銀行-Bank Card-VISA
453400,DC カード GOLD
453412,DC プロパーVISA (BTM引落)
453419,DC-VISA
453422,DC 早稲田 VISA
453426,DC JAF VISA
453429,DC-VISA 日専連
453436,DC-VISA JAL
453438,DC-ジザイル
453439,DC MSNカード
453450,DC-G-VISA
453450,DC プロパー-VISA-Gold-VINGT (BTM引落)
453450,DC-VISA JAL CLUB-A GOLD
453452,DC 財団法人日本盲導犬協会カード 一般
453452,DC NetMile VISA
453472,ユピ JCB
453478,DC ひろぎんDCカード
453486,DC 第四銀行-DC-VISA 一般
453490,DC 地銀DC ビジネスゴールド
453851,NICOS VISA GOLD
453852,NICOS VISA GOLD
453865,NICOS VISA Drivers EDGE
453865,NICOS VISA EDGE ON
453865,NICOS VISA ENEOSカード
453865,NICOS VISA
453865,NICOS VIASO VISA
453865,NICOS-DoCoMo-VISA
453865,NICOS ebank
453865,NICOS VISAS synergy
453866,NICOS
453868,NICOS VISA Soo
453868,NICOS VISA オードリー
453868,NICOS VISA WOWOW ぴあ
453868,NICOS VISA BRIDGESTONE CARLIFE SUPPORT CARD
453870,NICOS VISA三菱地所グループ
453870,NICOS VISA三菱地所グループ ゴールド
453887,Yahoo! JAPAN VISA
453892,ゆめカードVISA
453893,GE-VISA (旧ジーシー発行)
453897,髙島屋 VISA
453898,APLUS chobirich card
454110,SAISON 郵貯チェックカード《セゾン》(VISAチェック)
454110,SAISON 三井アウトレットパークカード VISA
454110,SAISON ローソンPontaカードVisa
454111,SAISON LaOXメンバーズカード/VISA
454112,SAISON MONEXVISA
454114,SAISON-VISA　(池袋西武)
454115,SAISON CLUB ONカード《セゾン》 VISA
454115,SAISON MONEX VISA
454115,SAISON 株主優待VISA
454117,SAISON LAWSON PASS VISA
454122,SAISON
454123,SAISON MONEX-VISA
454123,SAISON 郵貯《セゾン》VISA
454124,SAISON
454125,SAISON ゆうちょVISA
454130,SAISON そごうミレニアム
454130,SAISON クラブオンカード
454130,SAISON-フォービート
454131,SAISON 五番館 (北海道西武)
454131,SAISON UA Airlines Mileage Plus
454132,SAISON
454133,SAISON UA
454133,SAISON 郵貯チェック
454140,SAISON JAF《セゾン》VISA
454140,SAISON-@nifty
454141,SAISON-郵貯VISA
454141,UC
454142,SAISON-MONEX-VISA
454143,SAISON-VISA
454150,SAISON みずほマイレージクラブカードセゾンSuica
454151,SAISON カードVISA・北海道西友
454151,SAISON CLUB ON SAISONカードVISA
454152,SAISON 郵貯《セゾン》VISA
454153,SAISON
454154,SAISON
454155,SAISON
454156,SAISON visa
454158,SAISON りそなカード セゾンVISA
454159,SAISON 出光カードまいどプラス VISA
454161,SAISON-VISA
454165,SAISON @nifty VISA
454166,SAISON @nifty VISA
454166,SAISON Microsoft VISA
454166,SAISON VISA L.L.Bean Club
454167,SAISON WOWOW-VISA
454171,SAISON 郵貯VISA
454172,SAISON
454173,SAISON
454190,髙島屋 カード《ゴールド》
454196,SAISON りそな SAISON VISA GOLD
454202,イーバンクマネーカード CLASSIC (VISAデビット)
454203,イーバンクマネーカード GOLD (VISAデビット)
454205,りそなVISAデビットカード〈JMB〉 (VISAデビット)
454214,UC みずほ-G VISA
454220,UC WWF VISA
454220,UC みずほ-VISA一般
454224,UC-VISA JAF
454248,UC-VISA 日産カード
454271,UC-VISA りそな
454272,UC
454273,UC-VISA Honda C-card
454274,UC-VISA Honda C-card (りそなカード)
454275,UC-VISA DoCoMo
454275,UC VISA みずほ
454275,UC ビックカードインターナショナル
454285,VIEW JR東日本
454285,VIEW-VISA
454286,VIEW-VISA
454286,VIEW-VISA マイシティ新宿カード
454287,VIEW-Suica-VISA LUMINE
454287,VIEW Mizuho Suica
454287,VIEW Suica VISA
454287,VIEW アトレクラブビューSuicaカード
454287,VIEW weビュー・スイカカード
454325,ＲＯＰ質金Ｖ(タイ)
454381,東急TOP&-VISA
454382,東急TOP&-VISA
454383,東急TOP&-VISA
456600,MUFG-VISA
456605,UFJ Card プレミオVISA
456605,UFJ ワンパスVISA
456633,MUFGカード ゴールド
456696,セディナ CF GOLD-VISA
457556,able
468512,TS3 CUBIC レクサスカード VISA Platinum
468517,TS3-VISA teamTOYOTA
469110,ISETAN-ICARD VISA
469110,meitetsu-ICARD VISA
470086,大丸お得意様ゴールドカード(ハウス・11桁)
470801,中国銀行DREAMe W VISA
470806,横浜バンクカード Suicaゴールド
470806,横浜バンクカード Suicaヤングゴールド
470807,横浜バンクカード Suica
470835,TOMIN CLUB CARD VISA（東京都民銀行）
470836,天満屋カード VISA
470838,三井住友VISAプリペイド
470891,ゆうちょ銀行
473063,CALIFORNIA BANK & TRUST (キャッシュカード・VISAデビット)
489783,EPOS VISA
489784,EPOS VISA
489784,EPOS デザインカード
489784,EPOS SHIDAX
489785,EPOS バーチャルカード
489788,EPOS ゴールドカード
489789,EPOS プラチナカード
490115,NW-CITI-VISA-Gold
490120,セディナ OMC-VISA
490121,セディナ OMC-VISA
490129,セディナ OMC GOLD VISA
490129,セディナ OMC-VISA
490643,三菱東京UFJ VISA GOLD PREMIUM
490646,三菱東京UFJ
490647,三菱東京UFJ
490714,Citi-VISA NW
490714,WQ
490714,Citi-VISA student
490714,Citi-VISA Amazonクレジットカード
490714,Citi クラシック(A) VISA
490715,NWA-Citi-WorldPerks-VISA-Gold
490715,Citi VISA
490715,Citi VISA ELITE
492230,Citi VISA PLATINUM
492230,Citi-VISA NW-CITI-VISA-Plt
492231,NTTグループカード-VISA
492232,七十七カード VISA
492233,七十七カード VISAゴールド
492242,さぎんモテカカード VISA
492253,北国VISA カード
492254,東京VISA
492255,東京VISA GOLD
492256,北国VISA ゴールド
492257,群銀カード VISA
492258,群銀カード VISAゴールド
492259,三重銀カード VISA
492260,三重銀カード VISAゴールド
492267,住信VISA
492268,住信VISA ゴールドカード
492268,住信ロードサービスVISA-G
492269,あさひVISA
492269,あさひデルタVISA
492269,りそな-VISA とらのあな
492269,りそな
492269,りそな　東横イン４＆５
492271,りそな
492271,りそな 早稲田ゴールドカードAlumni
492273,やまぎんクレジットVISAゴールド
492278,信金VISA
492285,道銀カード 道銀ＶＩＳＡカード
492286,道銀カード 道銀ＶＩＳＡゴールドカード
492287,福岡銀行 arecore-VISA
492313,NICOS-VISA
492313,NICOS 郵貯VISA
492313,NICOS VISA さくらや
492313,NICOS 国際ボランティア貯金カード-VISA
492314,NICOS-VISA(ncom)
492339,全日鰤
492341,NICOS VISA ぴあ
492343,NICOS VISA
492344,NICOS VISA
492346,NICOS VISA(ぴあ)
492346,NICOS 郵貯ジョイントカード-VISA
492358,LIFE-VISA
492380,NICOS-VISA It'sカード
492386,NICOS-VISA 郵貯ジョイントカード
492387,NICOS ぴあカード
492390,NICOS VISA Ena
492391,NICOS VISA 昭和シェル X-CARD
493795,Orico @niftyパワーオリコ VISA
493795,Orico VISA
493795,Orico コジマ
496112,ヨドバシゴールドポイントIC eLIO VISA
498000,SMC
498000,SMC ANA VISA G
498000,SMC ANA Super Flyers Card VISA GOLD
498000,SMC ヒルトンHオナーズ VISA GOLD
498000,Panasonic-VISA
498000,SMC-VISA-GOLD
498000,三井住友 ＶＩＳＡゴールド(ヤング)
498001,SMC-VISA-Tuo
498001,ANA elio-VISA
498001,SMC-VISA JNB
498001,My Sony Card
498001,SFC-ANA-VISA
498001,SFC-VISA(plalaカード)
498001,SMBC ANA-VISA
498001,SMC unicef VISA
498001,SMC-ANA-VISA-St
498001,SMC-ANA-VISA-Suica
498001,SMC-VISA
498001,SMC-VISA クラシックA
498001,ソニーファイナンス BeneficioCard (elio 企業提携)
498001,ソニーファイナンス丸の内VISA
498001,慶應カード -st
498001,GOLD POINT CARD + VISA
498001,SMC-ALPS VISA (地方公務員等ライフプラン協会)
498003,SMC-VISA
498003,SMCクラシックA(学生)-VISA
498003,三井住友VISA miniクラシックカード
498003,三井住友VISAクラシック
498005,三井住友 MJC-VISA
498005,NKLDSAJK
498005,楽天カードーVISA
498005,三井住友VISAッピ
498005,三井住友VISAワンダー
498005,三井住友カード/MJC
498005,三越VISA
498005,ラブプラスvisaカード
498005,アイマスVISAカード
498006,三井住友 HANA PLUS VISA
498007,DCMX VISA
498011,SMC VISA Platinum
498013,JFR DAIMARU VISA
498020,三井住友VISAビジネスカードGOLD
498022,SMC-VISA CORPORATE
498036,九州カード
498037,九州カード 九州VISAカード
498060,NC北海専門店会　VISA
498061,GECF-VISA
498061,GECF-VISA JARL CARD/SMBC発行
498061,NCおびひろ VISA
498061,第一信販NC VISA
498062,NCとまこまい
498062,札幌信用販売　VISA
498066,イズミヤVISAカード
498066,ポケットカード P-oneカードブルー
498066,マイカルVISA
498066,住商カード
498073,九州カード 提携
498073,九州カード バーチャルカード
498074,九州カード 提携　ゴールド
498075,visacard
498075,しんきんクレジットサービス　ロードサービスビザ
498084,ポケットカード P-oneカードブルー
498611,イトーヨーカドーVISA
498612,セブンカードVISA
498631,UFJ-VISA DoCoMo
498631,UFJ-VISA auじぶん
498632,UFJ-VISA APA-JRA
498632,UFJ-VISA
498632,UFJ-VISA K-power
498632,UFJオールワン一体型
498632,UFJ-VISA スカイマーク　
498651,UFJ-FinancialOne-VISA
498658,UFJ VISA J-WEST
498660,UFJ
498694,セディナ CF-VISA
498694,JR東海エクスプレス・カード（Visa）
498694,セディナ EXPOエコマネーグリーンカード
501090,東急TOP ホワイト
501091,東急TOP (ハウス)
501098,東急TOP QPoint
504572,みずほ銀行(旧)エムタウン支店・インターナショナルキャッシュカード(Cirrus提携)
512780,SBI
516645,au Wallet/WebMoney Card
517895,City National Bank of West Virginia - Gold Debit Matercard
518380,セディナ クオーク-マスター
518691,アイフル e-まちタウンPPC MasterCard
520175,東☆マスター
520809,UFJ-Financial One-MasterCard
520809,UFJ 一般マスター
520809,UFJ スカイマーク　Master
520831,UFJ DoCoMo UFJ Card Master
520840,UCS-MasterCard(一般)
520848,UFJ マスター
520849,UFJ vodafone card 東海
520858,J-WEST エクスプレスMaster
520858,J-WEST ベーシックMaster
520882,UCS enta Master
520882,UCS-MasterCard(ゴールド)
521001,KCカード Master
521012,楽天カード Master
521015,楽天カード
521016,楽天カード Master
521465,NICOS ENEOS-MASTER
521487,Yahoo! JAPAN Master
521488,ゆめカード youme-Master
521498,Aplus Master Smile Personal
521900,セディナ CF-マスター
521900,JR東海エクスプレス・カード（MasterCard）
521913,セディナ CF-ブリジストン　マスター
521915,セディナ CF-Naster(JR東海EXPRESS CARD)
524805,Orico-Master FORCEA
524805,ORICO-HUKU2PLUSカード
524805,Orico-(ナジャヴ倶楽部)-MASTER
524805,Orico-@nifty-Master
524805,Orico-Animate-Master
524805,Orico 鱒 TIPNESS
524805,Orico Yahoo!Japan-Master
524805,Orico iGold Master
524805,Orico 暮らしの森アスクラスゴールド Master
524805,Orico クラブアライアンス
524805,Orico サンカード
524805,Orico-Master フタバファースト
524805,Orico-Master 鰤
524805,Orico Skywalker(HIS)Gold CARD
524806,Orico Gold Master Card UPty
524806,Orico MasterCard UPty
524806,Orico らき☆すたMasterCard UPty
524806,Orico 魔法少女まどか☆マギカ MasterCard UPty
525003,UC MIZUHO GOLD
525006,UC-Master YamahaFeelingClub
525014,UC Master Gold
525014,UC JR UC BUSINESS Gold
525022,UC mizuho master
525035,UC-Master Gold(みずほマイレージ)
525036,UC-Master(みずほマイレージ)
525036,Mizuho Mileage Club (SELECT)
525048,NISSAN CARD　MASTER
525048,UC マスター
525069,UC Master JTB
525071,UC Master @nifty
525072,UC Master DoCoMo
525072,UC Master MIZUHO UC select
525072,UC
525072,UC WWFセレクト MASTER
525072,UC Master トランスルーセント
525072,UC Master みずほ
525072,UC Master biccard-international
525072,銀座牛鱒
525072,UC Master 三越
525073,UC マイレージプラスセレクト・マスター
525087,VIEW-Master LUMINE
525087,VIEW Suica MasterCard
525113,NICOS MASTER ぴあ
525113,NICOS-MASTER-CAMPUS
525210,SAISON Master
525210,SAISON UAカレッジ
525212,SAISON Master
525214,SAISON UA Master
525215,SAISON
525215,SAISON-MASTER
525215,SAISON クラブオン・セゾン Master
525224,SAISON -Master
525231,SAISON Master
525236,SAISON
525240,SAISON Master Mitsui Outlet Park
525259,SAISON 出光 mydo plus Master
525265,SAISON Master Vodafone
525265,SAISON UA 一般
525290,SAISON Master UA カード ゴールド
525291,SAISON-MASTER SOGO-Millennium-GOLD
525701,OMC-Mastercard
527916,東急TOP& GOLD DC Master
527916,東急TOP& DC Master
527918,東急TOP& GRANDBERRY DC Master
527918,東急TOP& TOKYU PLAZA CARD プラザプラス Master
527934,DC JALCard Master CLUB-A
527934,DC JALCard Master 一般
527935,DC Master GOLD
527939,DC-Master クラブドンペンカード
527942,DC マスターカード 東京海上
527951,DC GONZO Master GOLD
527951,DC Master JAL CLUB-A Gold
527951,DC Master JGC CLUB-A Gold
527951,DC Master 日本盲導犬協会カード Gold
527970,DC
528371,DoCoMo NTT-L Master
528371,UC Master SCENE (NTT-L)
528371,UC ちば興銀
528371,UC りそなカード Master
528388,旧山一證券一般 (廃業によりUC直轄に移管)
528577,ふくぎん BANK CARD Master
529600,MUFG-Master
529605,UFJ プレミオカード
529659,HSBC PREMIER (World)
530230,三井住友 MasterCard GOLD
530231,SMC MasterGold Platinum
530232,SMC ANA Master Gold
530258,さぎんモテカカードMasterゴールド
530660,りそな　OMNI-master
531280,イオン
531281,イオン
531282,イオン
531283,イオン
531284,イオン Master
531286,イオン
531289,イオン MJC-AEON-Master
531289,イオン I love 代官山
531291,JACCS カード-Master
531291,JACCS ゴールドカード-Master
531291,JACCS 北海道日本ハムファイターズFCカード-Master
531291,JACCS Sofmap
531292,JACCS
531293,JACCS-コジマカード
532171,JTB-master
532438,YJCard Yahoo! JAPANカード
533490,SMC-Master クラシックA
533491,SMC-ANA-Master 学生カード
533491,SMC-ANA-Master 一般
533491,SMC-パスタウンMASTER
533491,SMC-ALPS VISA (地方公務員等ライフプラン協会)
533494,SMC-ANA-MASTER
533496,SMC-Master
540601,CITIBANK GOLD
540997,UNION BANK OF CALIFORNIA (Masterデビット)
541275,JACCS-YOSAKOI NET CARD
543472,DC りゅうぎんDCパートナーVISA
543616,アコム-Master
543816,武富士 マスター
543817,Citi クリア-Master
544251,ポケットカード くらしらくカード Master
544254,ポケットカード Master
544254,ポケットカード Masterイエロー
544254,マイカルブルー MasterCard
544254,ポケットカード P-one card Master
545285,Life AOYAMA CARD)
545285,Life 踊る大走査線 マスターカード
545285,Life-Master
557851,TS3-M-G
557852,TS3 カード［ビジネス］MASTER 一般
561018,Sonybank Moneykitグローバル (JPモルガンチェース提携)
588902,Citi Bank cash card
600053,えらべる倶楽部 クレ無 (JTBベネフィット福利厚生)
610190,JTB TRAVEL POINT CARD
622920,三井住友銀聯
650230,東急TOP (現金専用)
690005,TS3 TRBM (国際ブランド無しハウスカード)
690007,PiTaPa ベーシック
690011,三井住友カードiD
690011,DCMX mini
690101,丸井の赤いカード
691100,伊勢丹 アイカード
691131,高島屋友の会 (ローズサークル)
692200,高島屋 ゴールドカード
622920,三井住友銀聯カード
693050,イオンプロパー
695001,日経BP NICOS
695002,NICOS プロパー国内専用
695002,NICOS-JRA
695017,エネオス・ニコス
695017,ニコス
695020,NICOS スマートプラス (カード型)
699110,JACCS-Club Endeavor
699876,MLカード
700000,JCB ETC する～カード
706021,ライフ ETCカード
706080,JACCS ETCカード
706180,GE CARD ETC
707020,ポケットカード ETC
720011,NICOS ETC-Plus (親カード NICOS VISA)
725030,you me ETC card
750000,JCB EXXONMOBILL Corporate Plus
761127,AEON ETCカード
780001,三井住友カード ETCカード
780016,りそなカード ETC
800102,日産カード(ハウス)
800375,UC ETCカード
830088,Exon Mobile (親カード JCB)
840100,UFJ ETCカード
850030,JCB
860100,SAISON ETCカード
861200,SAISON ETCカード
880012,ETC-OMC(親カード関係なし)
900500,Citi ETC CARD
910000,Orico ETCカード
